Build Num,slow_ratio,repository_id
2132,0.685,1408776
1678,0.309,1409597
1551,0.648,1412176
619,0.024,1412312
341,0.065,1412877
943,0.216,1412935
532,0.036,1413831
741,0.356,1420944
1109,0.005,1423228
8121,0.811,1427453
1493,0.833,1427542
1439,0.001,1427838
1518,0.099,1430563
626,0.022,1431825
1268,0.692,1436984
337,0.347,1437140
378,0.950,1437459
454,0.824,1438820
385,0.275,1454055
492,0.014,1456441
1221,0.062,1457907
583,0.105,1469480
635,0.011,1473446
11882,0.925,1476304
838,0.079,1486548
9755,0.541,1487695
1477,0.992,1488254
575,0.003,1488504
1530,0.911,1488801
490,0.004,1489067
481,0.000,1489081
1230,0.493,1489414
593,0.516,1491680
831,0.728,1498108
495,0.149,1501480
2782,0.707,1514306
1382,0.026,1516926
1383,0.380,1517564
1182,0.252,1520660
380,0.029,1521577
672,0.003,1532064
846,0.006,1532703
2229,0.894,1535708
1843,0.175,1572400
601,0.025,1574954
499,0.056,1578325
828,0.496,1579836
713,0.893,1586144
889,0.933,1588273
530,0.002,1589537
2739,0.123,1589721
2701,0.778,1591259
572,0.741,1592092
696,0.011,1593604
334,0.081,1595381
502,0.799,1596291
482,0.133,1598316
364,0.022,1599452
2026,0.389,1599698
2269,0.249,1602446
414,0.007,1603098
1129,0.151,1603445
631,0.000,1605289
405,0.057,1622775
305,0.816,1623208
529,0.000,1623409
1757,0.014,1623727
486,0.099,1623832
927,0.028,1625092
1323,0.095,1626692
3523,0.891,1628469
707,0.001,1628763
4462,0.207,1628797
395,0.030,1629220
386,0.008,1629449
547,0.004,1630692
362,0.000,1631909
1726,0.006,1633448
1009,0.005,1633667
1166,0.011,1633992
712,0.528,1634047
5826,0.060,1634104
916,0.001,1635109
2550,0.613,1635687
4544,0.873,1636375
1634,0.040,1636774
490,0.796,1636999
4831,0.943,1637091
1236,0.132,1637223
463,0.108,1637370
932,0.006,1638325
938,0.106,1638327
1055,0.014,1638409
949,0.345,1638415
1841,0.020,1639991
378,0.042,1640440
358,0.064,1641836
403,0.020,1644632
2268,0.016,1645740
2445,0.029,1645863
5805,0.917,1646851
383,0.329,1647158
1267,0.006,1647680
730,0.941,1648523
2464,0.664,1649252
1960,0.877,1650152
3855,0.799,1650224
1637,0.788,1651775
985,0.057,1656224
395,0.068,1656254
406,0.771,1658859
426,0.657,1659218
1170,0.112,1659918
1625,0.636,1661891
525,0.903,1662734
697,0.000,1663190
6703,0.937,1663254
863,0.009,1665656
578,0.005,1665738
1102,0.649,1665794
880,0.017,1666569
816,0.254,1667147
545,0.004,1667298
330,0.003,1669293
6155,0.015,1669459
588,0.000,1670612
506,0.733,1671477
519,0.006,1671824
918,0.741,1672914
1300,0.008,1675739
473,0.078,1676189
2581,0.701,1676412
342,0.003,1676905
324,0.003,1678546
885,0.369,1692080
571,0.459,1696152
1230,0.014,1696401
780,0.000,1696433
6167,0.274,1696759
1223,0.855,1697254
1150,0.628,1697305
1650,0.190,1698264
581,0.007,1700044
711,0.014,1701660
573,0.010,1701828
540,0.011,1712487
882,0.002,1712707
453,0.004,1713216
311,0.768,1721201
314,0.146,1723046
1029,0.616,1728004
974,0.093,1728104
1116,0.603,1729498
